"uniqueID","date","spp","age","temp","dur1","dur2","ID","branch","spc1","EC1","temp1","spc2","EC2","temp2","percentEC"
1,"9/13/2023","PSME","n",25,2,"0:02",1,1,7.637045,8.02,22.5,63.901354,68.2,21.7,11.9513038800399
2,"9/13/2023","PSME","o",25,2,"0:02",2,1,4.3898725,4.61,22.5,27.8086844,29.74,21.6,15.7859769159019
3,"9/13/2023","PSME","n",65,2,"0:02",3,1,13.5314725,14.21,22.5,44.6185114,47.62,21.7,30.3270370871225
4,"9/13/2023","PSME","o",65,2,"0:02",4,1,8.41789,8.84,22.5,37.9260336,40.56,21.6,22.1955453838969
5,"9/13/2023","PSME","n",25,2,"0:02",5,2,3.8868906,4.09,22.4,50.9514194,54.49,21.6,7.62862084270021
6,"9/13/2023","PSME","o",25,2,"0:02",6,2,4.742205,4.98,22.5,80.7716936,53.56,51.6,5.87112240518874
7,"9/13/2023","PSME","n",65,2,"0:02",7,2,11.331775,11.9,22.5,62.968962,67.48,21.5,17.9958103803585
8,"9/13/2023","PSME","o",65,2,"0:02",8,2,13.4154896,14.06,22.6,66.6604274,71.29,21.6,20.1251178896582
9,"9/13/2023","PSME","n",25,2,"0:02",9,3,8.208395,8.62,22.5,75.6322184,80.72,21.7,10.8530401112762
10,"9/13/2023","PSME","o",25,2,"0:02",10,3,4.704183,4.95,22.4,41.6475724,44.54,21.6,11.2952153725051
11,"9/13/2023","PSME","n",65,2,"0:02",11,3,22.682595,23.82,22.5,64.3323602,68.66,21.7,35.2584530234599
12,"9/13/2023","PSME","o",65,2,"0:02",12,3,11.4785448,12.03,22.6,47.6168154,50.82,21.7,24.1060740907927
13,"9/13/2023","PSME","n",25,5,"0:05",13,4,7.8909376,8.32,22.3,98.019072,104.4,21.8,8.05041043441015
14,"9/13/2023","PSME","o",25,5,"0:05",14,4,6.17721,6.5,22.4,50.4464648,53.84,21.7,12.2450800556395
15,"9/13/2023","PSME","n",65,5,"0:05",15,4,47.5265034,50.01,22.4,104.94064,112,21.7,45.288939918796
16,"9/13/2023","PSME","o",65,5,"0:05",16,4,42.337647,44.55,22.4,80.5419412,85.96,21.7,52.5659629867476
17,"9/13/2023","PSME","n",25,5,"0:05",17,5,7.1704425,7.53,22.5,69.0257623,73.37,21.9,10.3880670941898
18,"9/13/2023","PSME","o",25,5,"0:05",18,5,6.3165392,6.62,22.6,56.0428603,59.57,21.9,11.2709079554243
19,"9/13/2023","PSME","n",65,5,"0:05",19,5,33.8440552,35.47,22.6,79.997522,84.86,22,42.3063794401032
20,"9/13/2023","PSME","o",65,5,"0:05",26,5,26.47255,27.8,22.5,58.6958881,62.39,21.9,45.1012001980425
21,"9/13/2023","PSME","n",25,5,"0:05",27,6,8.4295158,8.87,22.4,87.1641935,92.65,21.9,9.67084700898425
22,"9/13/2023","PSME","o",25,5,"0:05",28,6,7.179965,7.54,22.5,70.457398,74.74,22,10.1905054739603
23,"9/13/2023","PSME","n",65,5,"0:05",30,6,47.898175,50.3,22.5,104.45116,110.8,22,45.8570062792984
24,"9/13/2023","PSME","o",65,5,"0:05",31,6,37.9660264,39.79,22.6,86.8191051,91.91,22.1,43.7300365585086
25,"9/13/2023","PSME","n",25,10,"0:10",32,7,6.5346827,6.89,22.3,88.887801,94.1,22.1,7.35160801199256
26,"9/13/2023","PSME","o",25,10,"0:10",33,7,6.8804616,7.24,22.4,68.7865002,72.82,22.1,10.0026336272302
27,"9/13/2023","PSME","n",65,10,"0:10",34,7,55.2270789,58.23,22.3,107.37353,113.9,22,51.4345378232419
28,"9/13/2023","PSME","o",65,10,"0:10",35,7,41.292273,43.45,22.4,71.107861,75.43,22,58.0699129734756
29,"9/13/2023","PSME","n",25,10,"0:10",36,8,9.655815,10.14,22.5,103.64394,109.5,22.2,9.31633340067929
30,"9/13/2023","PSME","o",25,10,"0:10",37,8,6.05631,6.36,22.5,55.00894,58,22.3,11.0096831533202
31,"9/13/2023","PSME","n",65,10,"0:10",39,8,62.6787704,65.69,22.6,120.260924,126.8,22.3,52.1189828875753
32,"9/13/2023","PSME","o",65,10,"0:10",40,8,36.6521025,38.49,22.5,59.6941842,62.94,22.3,61.3997879210484
33,"9/13/2023","PSME","n",25,10,"0:10",41,9,5.3040325,5.57,22.5,76.52281,80.36,22.5,6.93130910900946
34,"9/13/2023","PSME","o",25,10,"0:10",42,9,6.97047,7.32,22.5,80.0756484,84.26,22.4,8.70485614450548
35,"9/13/2023","PSME","n",65,10,"0:10",43,9,37.1836152,38.97,22.6,76.3228375,80.15,22.5,48.7188584936979
36,"9/13/2023","PSME","o",65,10,"0:10",44,9,43.6637169,45.67,22.7,80.0937475,84.11,22.5,54.5157621698248
